Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
"OMG NINGNING ""MUCHAS GRACIAS MI AMOR""",297,天啊寧寧“非常感謝你我的愛”,你我|感謝; 天|感謝; 寧寧|感謝; 愛|感謝,4,天 啊 寧寧 “ 非常 感謝 你我 的 愛 ”,3,興奮,對成員表現感到驚喜,gemini-3.1-flash-lite
"Bro the ""muchas gracias mi amor"" is so addictive",26,兄弟的「非常感謝你，我的愛」太讓人上癮了,人|上癮; 兄弟|感謝; 愛|上癮; 愛|感謝,4,兄弟 的 「 非常 感謝 你 ， 我 的 愛 」 太 讓 人 上癮 了,2,興奮,覺得歌詞非常洗腦,gemini-3.1-flash-lite
"NINGNING'S ""MUCHAS GRACIAS MI AMOR"" IM OBSESSED",72,寧寧的《非常感謝你我的愛》我著迷,寧寧|感謝; 愛|感謝,2,寧寧 的 《 非常 感謝 你 我 的 愛 》 我 著迷,2,興奮,對歌詞感到極度著迷,gemini-3.1-flash-lite
Winter doing both rap and high note in one song is Next Level,74,Winter 在一首歌曲中同時表演饒舌和高音是下一個級別,歌曲|饒舌; 高音|饒舌,2,Winter   在 一 首 歌曲 中 同時 表演 饒舌 和 高音 是 下 一 個 級別,2,興奮,讚賞成員全能表現,gemini-3.1-flash-lite
"의외로 에스파가 청량이 잘 맞음.
스파이시 위플레시 수퍼노바 그리고 레몬네이드
레몬네이드가 스파이시+위플레시 조합이라고 봄",106,"令人驚訝的是，Espa 令人耳目一新。
辣鞭超新星和檸檬水
我認為檸檬水是辛辣和鞭打的結合。",人|耳目一新; 人|驚訝; 檸檬水|辛辣,3,令 人 驚訝 的 是 ， Espa  令 人 耳目一新 || 我 認為 檸檬水 是 辛辣 和 鞭打 的 結合,2,中立,分析歌曲風格組合,gemini-3.1-flash-lite
"WINTER DEFINETLY OWNED THIS
this song is so addictive",113,"冬天絕對有這個
這首歌太讓人上癮了",人|上癮; 歌|上癮,2,這 首 歌 太 讓 人 上癮 了,2,興奮,稱讚成員表現與歌曲,gemini-3.1-flash-lite
"4 vocalists, 4 visuals, 4 dancers, 4 rappers, 4 all rounders, 4 aces, 4 members, 4 girls, 4 queens aespa never dissapoints!!!!",117,4 位主唱、4 位視覺師、4 位舞者、4 位饒舌歌手、4 位全能選手、4 位王牌選手、4 位成員、4 位女孩、4 位皇后 aespa 永遠不會讓人失望！,人|失望; 歌手|全能; 歌手|饒舌; 王牌|全能; 舞者|饒舌; 選手|全能,6,4  位 主唱 、 4  位 視覺師 、 4  位 舞者 、 4  位 饒舌 歌手 、 4  位 全能 選手 、 4  位 王牌 選手 、 4  位 成員 、 4  位 女孩 、 4   位 皇后  aespa  永遠 不會 讓 人 失望,2,興奮,讚美成員全能且優秀,gemini-3.1-flash-lite
"as expected, aespa came back to save kpop with their second full album lemonade. So harder than we all thought and no wonder cause its aespa. SONG OF THE YEAR.",130,正如預期的那樣，aespa 帶著他們的第二張完整專輯《檸檬水》回來拯救了韓國流行音樂。比我們想像的還要難，難怪會出現 aespa。 SONG OF THE YEAR.,專輯|完整; 檸檬水|完整; 音樂|流行,3,正 如 預期 的 那樣 ， aespa  帶 著 他們 的 第二 張 完整 專輯 《 檸檬水 》 回來 拯救 了 韓國 流行 音樂,2,興奮,認為是年度最佳歌曲,gemini-3.1-flash-lite
"THE FIRST VERSE IS SO FREAKING ADDICTIVE.
GIGI, KARI ANS WINTYS RAP WAS SO FIRE
OMGGG I LOVE THIS SONG SO FREAKING MUCH",140,"第一節就非常令人上癮。
GIGI、KARI ANS WINTY 的饒舌太火了
天哪，我非常喜歡這首歌",人|上癮; 歌|喜歡,2,第一 節 就 非常 令 人 上癮 || 天哪 ， 我 非常 喜歡 這 首 歌,2,興奮,極度喜愛歌曲與饒舌,gemini-3.1-flash-lite
Winter rap is so satisfying,162,冬季饒舌太令人滿意了,人|滿意; 人|饒舌,2,冬季 饒舌 太 令 人 滿意 了,2,興奮,覺得饒舌聽感舒適,gemini-3.1-flash-lite
