Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences
"Kratos: your mother is resting now
The mother:",0,"奎托斯：你媽媽現在正在休息
母親：",,0,
Got to the afterlife and immediately started throwing hands and collecting bodies. That's Kratos' woman alright,1,到達來世後，立即開始投擲雙手並收集屍體。這就是奎托斯的女人好吧,奎托斯|好; 女人|好,2,這 就 是 奎托斯 的 女人 好 吧
"She gave him her axe and shield.

He gave her double jump and air combos",2,"她把斧頭和盾牌給了他。

他給了她二段跳和空中連擊",,0,
"Somebody call Shrek, they're rounding up the fairytale creatures again",3,有人打電話給史瑞克，他們再次圍捕童話裡的生物,,0,
Kratos and boy were hunting a deer while all of this were happening btw.,4,順便說一句，奎托斯和男孩正在獵鹿，而這一切都在發生。,,0,
"Atreus ""Mom was pretty chill.""
Kratos ""Boy, sometimes the red circle would appear over my head.""",5,"Atreus：“媽媽很冷淡。”
奎托斯：“孩子，有時我的頭頂上會出現紅色圓圈。”",圓圈|出現; 媽媽|冷淡; 紅色|出現,3,Atreus ： “ 媽媽 很 冷淡 || 奎托斯 ： “ 孩子 ， 有時 我 的 頭頂 上 會 出現 紅色 圓圈
"'She's resting in peace now'
The peace:

😂",6,"“她現在安息了”
和平：

😂",,0,
The hair technician is mad,7,美髮師生氣了,美髮師|生氣,1,美髮師 生氣 了
"""She fought beautifully boy, she could air combo when I could no longer.""",8,“她打得很漂亮，男孩，當我不能再進行空中連擊時，她可以。”,男孩|漂亮,1,“ 她 打 得 很 漂亮 ， 男孩 ， 當 我 不能 再 進行 空中 連擊 時 ， 她 可以
He fell in love with her because she can air combo and double jump.,9,他愛上她是因為她會空中連擊和二段跳。,,0,
"""Afterlife of the gods""
At this point half the population there must have been sent down by Kratos.",10,"《諸神的來世》
此時，那裡的一半人口肯定已經被奎托斯送下去了。",人口|肯定; 奎托斯|肯定,2,此時 ， 那裡 的 一半 人口 肯定 已經 被 奎托斯 送下去 了
"From singer to goddess of war, congratulations Laufey",11,從歌手到戰神，恭喜勞菲,,0,
“She took everything from me boy. My double jump and my air combos”,12,“她奪走了我的一切，男孩。我的二段跳和空中連擊”,,0,
