Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
"Kratos: my best friend is a talking head
Faye: my best friend is a talking cube",24,"奎托斯：我最好的朋友是會說話的人
Faye：我最好的朋友是一個會說話的立方體",奎托斯|好; 朋友|好,2,奎托斯 ： 我 最 好 的 朋友 是 會 說話 的 人 || Faye ： 我 最 好 的 朋友 是 一 個 會 說話 的 立方體,2,中立,單純描述角色設定,gemini-3.1-flash-lite
"Now I understand why Kratos said she fought beautifully!
Girl is an absolute unit!!",83,"現在我明白為什麼奎托斯說她打得漂亮了！
女孩子絕對是一個整體！ ！",奎托斯|明白; 奎托斯|漂亮,2,現在 我 明白 為什麼 奎托斯 說 她 打 得 漂亮 了,2,興奮,讚嘆角色戰鬥力強,gemini-3.1-flash-lite
Yes for sure this Kratos wife. I can’t wait to play the game.,85,是的，奎托斯的妻子肯定是這樣。我等不及要玩遊戲了。,奎托斯|肯定; 奎托斯|這樣; 妻子|肯定; 妻子|這樣,4,是 的 ， 奎托斯 的 妻子 肯定 是 這樣,2,期待,迫不及待想玩遊戲,gemini-3.1-flash-lite
Everyone else got cool and mythological names. Meanwhile Frank and Rue: Most Modern Names,119,其他人都有很酷且神話般的名字。同時，弗蘭克和魯：最現代的名字,人|酷; 名字|現代; 名字|酷; 弗蘭克|現代; 神話|酷; 魯|現代,6,其他 人 都 有 很 酷 且 神話 般 的 名字 || 同時 ， 弗蘭克 和 魯 ： 最 現代 的 名字,2,反諷,吐槽名字過於現代,gemini-3.1-flash-lite
Frank the cube cutely wadaling over to him watching,404,立方體弗蘭克可愛地走到他身邊觀看,弗蘭克|可愛; 立方體|可愛,2,立方體 弗蘭克 可愛 地 走到 他 身邊 觀看,2,感動,覺得方塊很可愛,gemini-3.1-flash-lite
Cool mythological name: FRANK! 🎉🎉🎉,467,酷炫的神話名字：弗蘭克！ 🎉🎉🎉,名字|炫; 名字|酷; 神話|炫; 神話|酷,4,酷 炫 的 神話 名字 ： 弗蘭克,2,反諷,嘲諷名字缺乏神話感,gemini-3.1-flash-lite
Frank the cube cutely wadaling over to him watching.,488,立方體弗蘭克可愛地走到他身邊觀看。,弗蘭克|可愛; 立方體|可愛,2,立方體 弗蘭克 可愛 地 走到 他 身邊 觀看,2,感動,覺得方塊動作可愛,gemini-3.1-flash-lite
Got to the afterlife and immediately started throwing hands and collecting bodies. That's Kratos' woman alright,1,到達來世後，立即開始投擲雙手並收集屍體。這就是奎托斯的女人好吧,奎托斯|好; 女人|好,2,這 就 是 奎托斯 的 女人 好 吧,1,興奮,認同其戰鬥風格,gemini-3.1-flash-lite
"""Afterlife of the gods""
At this point half the population there must have been sent down by Kratos.",10,"《諸神的來世》
此時，那裡的一半人口肯定已經被奎托斯送下去了。",人口|肯定; 奎托斯|肯定,2,此時 ， 那裡 的 一半 人口 肯定 已經 被 奎托斯 送下去 了,1,興奮,聯想奎爺的戰績,gemini-3.1-flash-lite
Kratos wasn’t lying when he said she fought beautifully,13,奎托斯說她打得漂亮，他並沒有說謊,奎托斯|漂亮,1,奎托斯 說 她 打 得 漂亮 ， 他 並 沒有 說謊,1,感動,認同奎爺的評價,gemini-3.1-flash-lite
