Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
人,上癮,14,'人' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
愛,感謝,8,'愛' is a noun entity and '感謝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,喜歡,7,'歌' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌手,饒舌,6,'歌手' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,流行,6,'音樂' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
寧寧,感謝,5,'寧寧' is a noun entity and '感謝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,失望,4,'人' is a noun entity and '失望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,饒舌,4,'人' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
專輯,完整,4,'專輯' is a noun entity and '完整' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
高音,饒舌,4,'高音' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,耳目一新,3,'人' is a noun entity and '耳目一新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
你我,感謝,3,'你我' is a noun entity and '感謝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
吉賽兒,饒舌,3,'吉賽兒' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,上癮,3,'歌' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好聽,3,'歌' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,饒舌,3,'歌曲' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,滿意,2,'人' is a noun entity and '滿意' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,驚訝,2,'人' is a noun entity and '驚訝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
們,小,2,'們' is a noun entity and '小' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
台詞,喜歡,2,'台詞' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
埃斯帕,好,2,'埃斯帕' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
夥伴,小,2,'夥伴' is a noun entity and '小' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
寧寧,饒舌,2,'寧寧' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
專輯,喜歡,2,'專輯' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
愛,上癮,2,'愛' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,喜歡,2,'時代' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
檸檬,討厭,2,'檸檬' is a noun entity and '討厭' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
檸檬水,一樣,2,'檸檬水' is a noun entity and '一樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
檸檬水,需要,2,'檸檬水' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,棒,2,'歌' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
節奏,瘋狂,2,'節奏' is a noun entity and '瘋狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
節目,需要,2,'節目' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
視頻,好,2,'視頻' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,好,2,'音樂' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,需要,2,'音樂' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
MV,瘋狂,1,'MV' is a noun entity and '瘋狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
一生,饒舌,1,'一生' is a noun entity and '饒舌' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事實,驚訝,1,'事實' is a noun entity and '驚訝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事物,新,1,'事物' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,值得,1,'人' is a noun entity and '值得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,努力,1,'人' is a noun entity and '努力' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,容易,1,'人' is a noun entity and '容易' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,強烈,1,'人' is a noun entity and '強烈' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,快樂,1,'人' is a noun entity and '快樂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,快速,1,'人' is a noun entity and '快速' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,愉悅,1,'人' is a noun entity and '愉悅' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,討厭,1,'人' is a noun entity and '討厭' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
