Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
主題曲,覺得,2,'主題曲' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
世良,感覺,1,'世良' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主線,慢吞吞,1,'主線' is a noun entity and '慢吞吞' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,注意到,1,'人' is a noun entity and '注意到' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
作品,新,1,'作品' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
作品,長,1,'作品' is a noun entity and '長' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
佳奈,過世,1,'佳奈' is a noun entity and '過世' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
公路,墮落,1,'公路' is a noun entity and '墮落' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
公路,感謝,1,'公路' is a noun entity and '感謝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
公路,高速,1,'公路' is a noun entity and '高速' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
劇場版,強,1,'劇場版' is a noun entity and '強' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
劇場版,期待,1,'劇場版' is a noun entity and '期待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
劇場版,注意到,1,'劇場版' is a noun entity and '注意到' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
劇場版,特別,1,'劇場版' is a noun entity and '特別' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
劇情,爆炸,1,'劇情' is a noun entity and '爆炸' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
動作片,希望,1,'動作片' is a noun entity and '希望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
動作片,爆破,1,'動作片' is a noun entity and '爆破' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
台語,覺得,1,'台語' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
商業,喜歡,1,'商業' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
商業,爆炸,1,'商業' is a noun entity and '爆炸' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
場地,需要,1,'場地' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
填空題,喜歡,1,'填空題' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
填空題,需要,1,'填空題' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
壁壘,簡單,1,'壁壘' is a noun entity and '簡單' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
壁壘,高,1,'壁壘' is a noun entity and '高' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
大倉,喜歡,1,'大倉' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
天主教,平反,1,'天主教' is a noun entity and '平反' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
天使,墮落,1,'天使' is a noun entity and '墮落' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
姐姐,願,1,'姐姐' is a noun entity and '願' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
娛樂性,強,1,'娛樂性' is a noun entity and '強' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
安全帶,這,1,'安全帶' is a noun entity and '這' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
小哀,乾脆,1,'小哀' is a noun entity and '乾脆' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
小姐,過世,1,'小姐' is a noun entity and '過世' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
小蘭,失敗,1,'小蘭' is a noun entity and '失敗' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
小蘭,好,1,'小蘭' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
