Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
"讨厌这版SG，包括演员、角色和故事设定，全都讨厌！！演员太丑，角色个性不讨喜，故事风格跟超人也太雷同，超不喜欢！！
SG只是比超人早出生，但实际生理和心理年龄都比超人年幼得多，应该以校园青春为故事主调，跟超人以拯救世界为主调的故事拉开差距
而且传统SG的个性标签虽然也是叛逆期，但最主要的是对超人的崇拜，这版从超人片尾来看恐怕是以叛逆为主，未必有崇拜，单纯的叛逆性格真的很不讨喜，这里面恐怕有DEI的成分！
最关键的是，这演员也太TM丑了！！！史上最丑SG！！！说没有DEI成分你信吗？？",138,"討厭這版SG，包括演員、角色和故事設定，全都討厭！ ！演員太醜，角色個性不討喜，故事風格跟超人也太雷同，超不喜歡！ ！
SG只是比超人早出生，但實際生理和心理年齡都比超人年輕得多，應該以校園青春為故事主調，跟超人以拯救世界為主調的故事拉開差距
而傳統SG的個性標籤雖然也是叛逆期，但最主要的是對超人的崇拜，這版從超人片尾來看恐怕是以叛逆為主，未必有崇拜，單純的叛逆性格真的很不討喜，這裡面恐怕有DEI的成分！
最關鍵的是，這位演員也太TM醜了！ ！ ！史上最醜SG！ ！ ！說沒有DEI成分你信嗎？ ？",個性|傳統; 個性|討喜; 個性|醜; 史|醜; 年齡|實際; 年齡|年輕; 心理|實際; 心理|年輕; 性格|叛逆; 性格|單純; 性格|討喜; 成分|信; 故事|包括; 故事|討厭; 故事|討喜; 標籤|傳統; 演員|TM; 演員|包括; 演員|醜; 片尾|超人; 版|包括; 版|討厭; 版|超人; 生理|實際; 角色|包括; 角色|討喜; 角色|醜; 超人|實際; 超人|年輕; 超人|討喜; 風格|討喜,31,討厭 這 版 SG ， 包括 演員 、 角色 和 故事 設定 ， 全 都 討厭 || 演員 太 醜 ， 角色 個性 不 討喜 ， 故事 風格 跟 超人 也 太 雷同 ， 超 不 喜歡 || SG 只是 比 超人 早 出生 ， 但 實際 生理 和 心理 年齡 都 比 超人 年輕 得多 ， 應該 以 校園 青春 為 故事 主調 ， 跟 超人 以 拯救 世界 為 主調 的 故事 拉開 差距 || 而 傳統 SG 的 個性 標籤 雖然 也 是 叛逆期 ， 但 最 主要 的 是 對 超人 的 崇拜 ， 這 版 從 超人 片尾 來 看 恐怕 是 以 叛逆 為主 ， 未必 有 崇拜 ， 單純 的 叛逆 性格 真的 很 不 討喜 ， 這 裡面 恐怕 有 DEI 的 成分 || 最 關鍵 的 是 ， 這 位 演員 也 太 TM 醜 了 || 史 上 最 醜 S G || 說 沒有 DEI 成分 你 信 嗎,4,憤怒,強烈厭惡選角與設定,gemini-3.1-flash-lite
女主角不好看，等於沒看的必要,24,女主角不好看，等於沒看的必要,主角|好看; 女|好看,2,女 主角 不 好看 ， 等於 沒 看 的 必要,2,中立,因外貌不符而沒興趣,gemini-3.1-flash-lite
感覺比超人好看  超人我個人真的看不太下去...,148,感覺比超人好看  超人我個人真的看不太下去...,超人|好看; 超人|感覺,2,感覺 比 超人 好看    超人 我 個人 真的 看 不 太 下去 ...,2,期待,認為比超人系列好看,gemini-3.1-flash-lite
女主角不好看，沒fu，不想看。,199,女主角不好看，沒fu，不想看。,主角|好看; 女|好看,2,女 主角 不 好看 ， 沒 fu ， 不 想 看,2,中立,因外貌不符而沒興趣,gemini-3.1-flash-lite
超少女之瘋狂麥斯,1,超少女之瘋狂麥斯,麥斯|瘋狂,1,超少女 之 瘋狂 麥斯,1,反諷,戲稱風格像瘋狂麥斯,gemini-3.1-flash-lite
不錯喔…看預告完全不知道這部想講什麼故事…挺好，至少比看預告就等於看完全片好…只是真的不知道這部定位在哪😂⋯⋯單純帶出超少女嗎？,6,不錯喔…看預告完全不知道這部想講什麼故事…挺好，至少比看預告就等於看完全片好…只是真的不知道這部定位在哪😂⋯⋯單純帶出超少女嗎？,定位|單純; 定位|知道; 故事|好; 片|好; 超少女|單純; 預告|好,6,不錯 喔 … 看 預告 完全 不 知道 這 部 想 講 什麼 故事 … 挺 好 ， 至少 比 看 預告 就 等於 看完 全 片 好 … 只是 真的 不 知道 這 部 定位 在 哪 😂 ⋯⋯ 單純 帶出 超少女 嗎,1,期待,對預告保持觀望態度,gemini-3.1-flash-lite
岡恩：「接下來的作品豐富，依序是星際異攻隊4、星際異攻隊5、星際異攻隊6、星際異攻隊7、星際異攻隊8，很期待吧，恩對。」,22,岡恩：「接下來的作品豐富，依序是星際異攻隊4、星際異攻隊5、星際異攻隊6、星際異攻隊7、星際異攻隊8，很期待吧，恩對。」,作品|豐富; 恩|期待; 異攻隊|期待; 異攻隊|豐富,4,岡恩 ： 「 接下來 的 作品 豐富 ， 依序 是 星際 異攻隊 4 、 星際 異攻隊 5 、 星際 異攻隊 6 、 星際 異攻隊 7 、 星際 異攻隊 8 ， 很 期待 吧 ， 恩 對,1,反諷,嘲諷岡恩作品重複性,gemini-3.1-flash-lite
本片採用已經超過40年的排行榜冠軍曲call me，真是感動震撼啊，老美懷舊經典的精神令人敬佩🎉,25,本片採用已經超過40年的排行榜冠軍曲call me，真是感動震撼啊，老美懷舊經典的精神令人敬佩🎉,人|懷舊; 冠軍曲|感動; 精神|懷舊; 經典|懷舊; 老美|感動; 老美|懷舊,6,本 片 採用 已經 超過 40年 的 排行榜 冠軍曲 call  me ， 真是 感動 震撼 啊 ， 老美 懷舊 經典 的 精神 令 人 敬佩 🎉,1,感動,對懷舊金曲感到震撼,gemini-3.1-flash-lite
怎麼感覺會比新超人還難看?,32,怎麼感覺會比新超人還難看?,超人|感覺; 超人|新; 超人|難看,3,怎麼 感覺 會 比 新 超人 還 難看,1,期待,預期品質低於新超人,gemini-3.1-flash-lite
瘋狂麥斯：超人來襲,37,瘋狂麥斯：超人來襲,超人|瘋狂; 麥斯|瘋狂,2,瘋狂 麥斯 ： 超人 來襲,1,反諷,戲稱風格像瘋狂麥斯,gemini-3.1-flash-lite
