Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
主角,好看,2,'主角' is a noun entity and '好看' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
女,好看,2,'女' is a noun entity and '好看' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
演員,醜,2,'演員' is a noun entity and '醜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
片,好,2,'片' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
超人,好看,2,'超人' is a noun entity and '好看' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
超人,感覺,2,'超人' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
麥斯,瘋狂,2,'麥斯' is a noun entity and '瘋狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
世界觀,這樣,1,'世界觀' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
中二,不見了,1,'中二' is a noun entity and '不見了' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,可惜,1,'主角' is a noun entity and '可惜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
亞當,期待,1,'亞當' is a noun entity and '期待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
亞當,漫威,1,'亞當' is a noun entity and '漫威' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,懷舊,1,'人' is a noun entity and '懷舊' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,漫威,1,'人' is a noun entity and '漫威' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,需要,1,'人' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人口,好,1,'人口' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
作品,豐富,1,'作品' is a noun entity and '豐富' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
個性,傳統,1,'個性' is a noun entity and '傳統' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
個性,討喜,1,'個性' is a noun entity and '討喜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
個性,醜,1,'個性' is a noun entity and '醜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
傑森·摩莫亞,暴,1,'傑森·摩莫亞' is a noun entity and '暴' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
傻白甜,好,1,'傻白甜' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
克拉克,好,1,'克拉克' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
公主,喜歡,1,'公主' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
冠軍曲,感動,1,'冠軍曲' is a noun entity and '感動' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
