Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
人,喜歡,16,'人' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,喜歡,8,'歌' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
評論,喜歡,6,'評論' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
老闆,棒,4,'老闆' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,好聽,4,'音樂' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,一樣,3,'人' is a noun entity and '一樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,覺得,3,'歌' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,喜歡,3,'音樂' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,上癮,2,'人' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,感到,2,'人' is a noun entity and '感到' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,深刻,2,'人' is a noun entity and '深刻' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,覺得,2,'人' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
印象,深刻,2,'印象' is a noun entity and '深刻' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
效果,多,2,'效果' is a noun entity and '多' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
效果,好,2,'效果' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,流行,2,'歌' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,棒,2,'歌曲' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,流行,2,'歌曲' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
老闆,好,2,'老闆' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
老闆,等待,2,'老闆' is a noun entity and '等待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
