Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
恐懼來自於火力不足的含金量,70,恐懼來自於火力不足的含金量,含金量|不足; 含金量|恐懼; 火力|不足; 火力|恐懼,4,恐懼 來自於 火力 不足 的 含金量,4,興奮,引用迷因表達火力崇拜,gemini-3.1-flash-lite
"阿斯
可以問模組名字嗎感覺很好玩",59,"阿斯
可以問模組名字嗎感覺很好玩",名字|好玩; 名字|感覺; 模組|好玩; 模組|感覺,4,可以 問 模組 名字 嗎 感覺 很 好玩,3,期待,詢問模組名稱想遊玩,gemini-3.1-flash-lite
19:32 這落地船超帥 然後後面的幽靈騎士的動畫也超帥,2,19:32 這落地船超帥 然後後面的幽靈騎士的動畫也超帥,動畫|帥; 動畫|超; 幽靈|帥; 幽靈|超; 落地船|帥; 落地船|超; 騎士|帥; 騎士|超,8,19:32  這 落地船 超 帥   然後 後面 的 幽靈 騎士 的 動畫 也 超 帥,2,興奮,讚嘆動畫與畫面帥氣,gemini-3.1-flash-lite
怎麼覺得噴火龍比終結龍還弱啊😂,57,怎麼覺得噴火龍比終結龍還弱啊😂,噴火龍|弱; 噴火龍|覺得; 終結龍|弱; 終結龍|覺得,4,怎麼 覺得 噴火龍 比 終結龍 還 弱 啊 😂,2,中立,討論遊戲強度平衡,gemini-3.1-flash-lite
昨天想說為什麼每沒有新影片害我好擔心，沒事就好,95,昨天想說為什麼每沒有新影片害我好擔心，沒事就好,事|好; 事|擔心; 影片|擔心; 影片|新,4,昨天 想 說 為什麼 每 沒有 新 影片 害 我 好 擔心 ， 沒 事 就 好,2,感動,關心創作者平安,gemini-3.1-flash-lite
恐惧来自火力不足枪械才是这个世界的真理,99,恐懼來自火力不足槍械才是這個世界的真理,槍械|不足; 槍械|恐懼; 火力|不足; 火力|恐懼,4,恐懼 來自 火力 不足 槍械 才 是 這 個 世界 的 真理,2,興奮,認同火力至上的迷因,gemini-3.1-flash-lite
現代軍火力量生存🔫🗡,8,現代軍火力量生存🔫🗡,力量|生存; 軍火|生存,2,現代 軍火 力量 生存 🔫 🗡,1,中立,描述影片內容主題,gemini-3.1-flash-lite
38秒前！为什么还有比我快的人,14,38秒前！為什麼還有比我快的人,人|快,1,為什麼 還 有 比 我 快 的 人,1,興奮,搶頭香的興奮感,gemini-3.1-flash-lite
是不是每只動物都會掉武器啊😂,43,是不是每只動物都會掉武器啊😂,動物|掉; 武器|掉,2,是 不 是 每 只 動物 都 會 掉 武器 啊 😂,1,中立,詢問遊戲機制設定,gemini-3.1-flash-lite
這個模組感覺不弄隨機掉落也很有趣呢,55,這個模組感覺不弄隨機掉落也很有趣呢,模組|感覺,1,這 個 模組 感覺 不 弄 隨機 掉落 也 很 有趣 呢,1,期待,對模組玩法提出建議,gemini-3.1-flash-lite
連發的那把叫P90現實中傷害也是拉得不行,73,連發的那把叫P90現實中傷害也是拉得不行,傷害|不行,1,連 發 的 那 把 叫 P90 現實 中 傷害 也 是 拉 得 不行,1,中立,科普現實槍械知識,gemini-3.1-flash-lite
？不是原來現在已經沒人知道hereobrine 會把樹葉和草地都弄掉了嗎😢,84,？不是原來現在已經沒人知道hereobrine 會把樹葉和草地都弄掉了嗎😢,人|知道; 樹葉|知道,2,不 是 原來 現在 已經 沒 人 知道 hereobrine   會 把 樹葉 和 草地 都 弄掉 了 嗎 😢,1,反諷,感嘆老玩家知識流失,gemini-3.1-flash-lite
我記得那個沒有樹葉地形好像是Her our ine的家,88,我記得那個沒有樹葉地形好像是Her our ine的家,地形|記得; 樹葉|記得,2,我 記得 那 個 沒有 樹葉 地形 好像 是 Her  our  ine 的 家,1,中立,分享遊戲都市傳說,gemini-3.1-flash-lite
这个啊斯哈拿枪的时候超好笑的啦😂😂😂😂,109,這啊斯哈拿槍的時候超好笑的😂😂😂😂,哈拿槍|好笑; 斯|好笑; 時候|好笑,3,這 啊 斯 哈拿槍 的 時候 超 好笑 的 😂 😂 😂 😂,1,興奮,覺得動作滑稽好笑,gemini-3.1-flash-lite
