Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
洋蔥,帥,16,'洋蔥' is a noun entity and '帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
洋蔥,瘦,9,'洋蔥' is a noun entity and '瘦' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
洋蔥,變,8,'洋蔥' is a noun entity and '變' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
安內 ,知,5,'安內 ' is a noun entity and '知' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
洋蔥,好聽,5,'洋蔥' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
青春,可惜,3,'青春' is a noun entity and '可惜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人生,可惜,2,'人生' is a noun entity and '可惜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
夢幻,喜歡,2,'夢幻' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好聽,2,'歌' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
洋蔥,太多,2,'洋蔥' is a noun entity and '太多' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
洋蔥,超帥,2,'洋蔥' is a noun entity and '超帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
洋蔥,開始,2,'洋蔥' is a noun entity and '開始' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
狗柏,帥,2,'狗柏' is a noun entity and '帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
狗柏,這樣,2,'狗柏' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
生活,無法無天,2,'生活' is a noun entity and '無法無天' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
男子漢,癡情,2,'男子漢' is a noun entity and '癡情' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
香菜,多力,2,'香菜' is a noun entity and '多力' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
2026,新,1,'2026' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,知道,1,'主角' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,開始,1,'主角' is a noun entity and '開始' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
九妹,覺得,1,'九妹' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,健康,1,'人' is a noun entity and '健康' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
