Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
念,怕,3,'念' is a noun entity and '怕' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
念,自在,3,'念' is a noun entity and '自在' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
海嘯,怕,3,'海嘯' is a noun entity and '怕' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,覺得,2,'人' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
心,覺得,2,'心' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,喜歡,2,'歌' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,棒,2,'歌' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌詞,好,2,'歌詞' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
版本,新,2,'版本' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
維度,高,2,'維度' is a noun entity and '高' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
七情六慾,如此,1,'七情六慾' is a noun entity and '如此' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
世俗,感悟,1,'世俗' is a noun entity and '感悟' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,好聽,1,'主題曲' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,適合,1,'主題曲' is a noun entity and '適合' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,黑悟空,1,'主題曲' is a noun entity and '黑悟空' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事,平靜,1,'事' is a noun entity and '平靜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事,重要,1,'事' is a noun entity and '重要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事情,理解,1,'事情' is a noun entity and '理解' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,不同,1,'人' is a noun entity and '不同' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,代表,1,'人' is a noun entity and '代表' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,出現,1,'人' is a noun entity and '出現' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,好受,1,'人' is a noun entity and '好受' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,好聽,1,'人' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,小,1,'人' is a noun entity and '小' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,感受到,1,'人' is a noun entity and '感受到' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,明白,1,'人' is a noun entity and '明白' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,樂,1,'人' is a noun entity and '樂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,深刻,1,'人' is a noun entity and '深刻' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,穩,1,'人' is a noun entity and '穩' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,老,1,'人' is a noun entity and '老' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,自在,1,'人' is a noun entity and '自在' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,興奮,1,'人' is a noun entity and '興奮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
