Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
"This is Armageddon + Supernova + Drama energy combined. The production is insane, the concept is creepy but addictive, Our queens are SERVING.",63,這是世界末日+超新星+戲劇性能量的結合。製作很瘋狂，概念令人毛骨悚然但令人上癮，我們的女王正在服務。,人|上癮; 人|毛骨悚然; 人|瘋狂; 女王|上癮; 戲劇性|結合; 新星|結合; 概念|毛骨悚然; 概念|瘋狂; 能量|結合,9,這 是 世界 末日 + 超 新星 + 戲劇性 能量 的 結合 || 製作 很 瘋狂 ， 概念 令 人 毛骨悚然 但 令 人 上癮 ， 我們 的 女王 正在 服務,3,興奮,製作精良且概念迷人,gemini-3.1-flash-lite
감각적이고 조금 크리피하기도 하고... 에스파깔이면서도 지디섞어서 새로운 느낌으로 들고오니까 개좋은데?,308,它很性感，又有點令人毛骨悚然……我喜歡它，因為它是 espaque 並與 G 風格混合在一起，給人一種新的感覺，對嗎？,人|喜歡; 人|在一起; 人|性感; 人|新; 人|毛骨悚然; 感覺|對; 感覺|新; 風格|在一起,8,它 很 性感 ， 又 有點 令 人 毛骨悚然 … … 我 喜歡 它 ， 因為 它 是  espaque   並 與  G  風格 混合 在一起 ， 給 人 一 種 新 的 感覺 ， 對 嗎,3,興奮,風格獨特且非常好聽,gemini-3.1-flash-lite
"병사들이 뽑은 '군통령'은…
1위 에스파
🩵🌙⭐️🦋
@aespa +294M  views today",88,"由士兵選舉產生的‘軍主席’…
第一名 埃斯帕
🩵🌙⭐️🦋
@aespa 今天觀看次數超過 2.94 億",‘軍|產生; 主席|產生; 士兵|產生; 選舉|產生,4,由 士兵 選舉 產生 的 ‘軍 主席 ’ …,2,中立,分享軍中人氣數據,gemini-3.1-flash-lite
"병사들이 뽑은 '군통령'은…
1위 에스파
🩵🌙⭐️🦋
@aespa +288M  views today.",263,"由士兵選舉產生的‘軍主席’…
第一名 埃斯帕
🩵🌙⭐️🦋
@aespa 今天觀看次數超過 2.88 億。",‘軍|產生; 主席|產生; 士兵|產生; 選舉|產生,4,由 士兵 選舉 產生 的 ‘軍 主席 ’ …,2,中立,分享軍中人氣數據,gemini-3.1-flash-lite
Honestly excited for this group’s music. Their sound and concept are really unique. Can’t wait to see more from them.,327,老實說，我對這個樂團的音樂感到興奮。他們的聲音和概念確實很獨特。迫不及待想看到他們的更多作品。,概念|獨特; 樂團|感到; 樂團|興奮; 聲音|獨特; 音樂|感到; 音樂|興奮,6,老實說 ， 我 對 這 個 樂團 的 音樂 感到 興奮 || 他們 的 聲音 和 概念 確實 很 獨特,2,期待,對團體音樂感到期待,gemini-3.1-flash-lite
Everyone do you all know aespa's Whole Different Animal dance choreography was addictive and cool 😎,363,大家都知道 aespa 的 Whole Different Animal 舞蹈編排令人上癮且很酷 😎,人|上癮; 人|酷; 舞蹈|上癮,3,大家 都 知道  aespa  的  Whole  Different  Animal  舞蹈 編排 令 人 上癮 且 很 酷   😎,2,興奮,舞蹈編排令人上癮,gemini-3.1-flash-lite
I feel sorry for ppl who don’t get this. This is a whole new level of swag that even boy groups these days can’t give.,0,我為那些不明白這一點的人感到遺憾。這是一個全新水平的贓物，即使是現在的男孩團體也無法給予。,人|感到; 人|明白; 人|遺憾; 水平|全新; 贓物|全新,5,我 為 那些 不 明白 這 一 點 的 人 感到 遺憾 || 這 是 一 個 全新 水平 的 贓物 ， 即使 是 現在 的 男孩 團體 也 無法 給予,1,興奮,讚賞獨特的風格魅力,gemini-3.1-flash-lite
I’m so sad ppl don’t realize how insane this song is,6,我很傷心，人們沒有意識到這首歌有多瘋狂,人們|傷心; 人們|意識到; 歌|意識到; 歌|瘋狂,4,我 很 傷心 ， 人們 沒有 意識到 這 首 歌 有 多 瘋狂,1,感動,感嘆歌曲被低估,gemini-3.1-flash-lite
"Collaboration of the Year of aespa and G-DRAGON""",8,aespa與G-DRAGON年度合作》,年度|合作,1,aespa 與 G-DRAGON 年度 合作 》,1,興奮,稱讚年度最佳合作,gemini-3.1-flash-lite
"it is what it is, aespa is different animal",24,就是這樣，aespa 是不同的動物,動物|不同,1,就是 這樣 ， aespa  是 不同 的 動物,1,興奮,認同團體獨特性,gemini-3.1-flash-lite
